origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,policy,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,selected_lambda,lambda_mode,pareto_variant,pareto_w_clean,pareto_w_rep,pareto_alpha,pareto_lambda_mean,pareto_lambda_min,pareto_lambda_max,pareto_history_cutoff,fusion_method,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.4583882075922738,0.07333333333333333,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006436256160356792,0.006942519171658781,0.012051555943055075,0.0039883107644989564,0.8036128342613398,0.8127009995969133,0.6948097294902615,0.12340425531914893,2.4582127659574464,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.45919939679352323,0.07333333333333333,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.044542139745678715,0.029179904571825135,0.26771667351262846,0.023744015579593884,0.7840747211016313,0.6303172981627472,0.8161931814619886,0.031909671084928815,0.635640648011782,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.4582553427997705,0.068,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.09920986792470404,0.08667685269575917,0.2242145920557747,0.061294883400053415,0.805041706491725,0.76015393794907,0.7030838866228746,0.10797514241325738,2.1508648368720866,0.12868979803210773,2.5635007767995854,0.2092180217503884,4.167622993267737,3862,0.040390729585006696,1992,48,100
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.4537206059084824,0.06363636363636363,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.05570635945692312,0.05608632867507911,0.1669211253581758,0.03953385173109335,0.8268509489879263,0.7402736947013953,0.8546834859093836,0.10496894409937889,2.0909813664596273,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.4531212423648418,0.06363636363636363,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006221176113212389,0.006169631559244072,0.004608072350271864,0.0007134786909202517,0.5899056557480964,0.5961135620812484,0.2530178109580073,0.03984819734345351,0.793776091081594,0.028462998102466792,0.5669829222011386,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.45284658656270094,0.06363636363636363,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.004123952115394482,0.004144939342279707,0.004001879041285664,-7.020106637022724e-05,0.5278273622251152,0.5341526454828638,0.4286541300479829,0.0399002493765586,0.7948129675810474,0.02743142144638404,0.54643391521197,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.45211325931431356,0.06363636363636363,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.0060477975021296735,0.006668442979972535,0.004289788898153691,0.0018722295198667332,0.6562646771551,0.6900558204503444,0.4226055757435725,0.0225,0.4482,0.0225,0.4482,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.45314387582798726,0.06363636363636363,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.003097859030078636,0.002108865508829062,0.005656114618589922,0.001207155540629736,0.7143571439529436,0.5481755972289722,0.7136612029766578,0.09944751381215469,1.9809944751381217,0.09944751381215469,1.9809944751381217,0.0,0.0,181,0.0018929886211512717,1992,48,100
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.4533474460613015,0.06363636363636363,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.026343008702283205,0.02395728039502435,0.04395196725316627,0.0015745047410826536,0.49608906111749596,0.483359091847222,0.4963120002006739,0.07799325463743677,1.5536256323777404,0.04005059021922428,0.7978077571669477,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.44881830569029363,0.06363636363636363,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.01781218857885665,0.02023311559503117,0.00770284850356385,0.008196624984485604,0.7156106900027904,0.7449450112064474,0.3666678389595016,0.061488673139158574,1.2248543689320388,0.06256742179072276,1.2463430420711972,0.06796116504854369,1.35378640776699,927,0.009695030120481929,1992,48,100
